"freq"	"ch 1"
0.0	-150.81
1.0	-155.01
2.0	-152.96
3.0	-156.75
4.0	-157.04
5.0	-161.28
6.0	-159.19
7.0	-153.53
8.0	-152.02
9.0	-154.5
10.0	-161.21
11.0	-162.35
12.0	-167.38
13.0	-175.82
14.0	-160.97
15.0	-155.76
16.0	-158.89
17.0	-163.85
18.0	-158.99
19.0	-150.03
20.0	-149.43
21.0	-159.53
22.0	-155.76
23.0	-149.04
24.0	-153.76
25.0	-151.24
26.0	-153.44
27.0	-156.84
28.0	-153.06
29.0	-151.36
30.0	-156.27
31.0	-152.42
32.0	-148.73
33.0	-149.19
34.0	-146.77
35.0	-148.47
36.0	-165.47
37.0	-154.58
38.0	-162.19
39.0	-176.63
40.0	-179.74
41.0	-167.93
42.0	-154.84
43.0	-148.21
44.0	-146.19
45.0	-156.07
46.0	-154.5
47.0	-154.65
48.0	-154.94
49.0	-160.77
50.0	-171.81
51.0	-150.25
52.0	-145.84
53.0	-148.57
54.0	-160.92
55.0	-159.83
56.0	-156.64
57.0	-154.23
58.0	-150.75
59.0	-153.17
60.0	-152.17
61.0	-153.93
62.0	-152.81
63.0	-148.25
64.0	-151.15
65.0	-156.44
66.0	-154.01
67.0	-145.42
68.0	-146.43
69.0	-157.35
70.0	-150.02
71.0	-149.16
72.0	-156.36
73.0	-157.33
74.0	-149.42
75.0	-149.41
76.0	-150.93
77.0	-149.12
78.0	-155.65
79.0	-151.52
80.0	-155.25
81.0	-155.37
82.0	-154.46
83.0	-172.28
84.0	-157.85
85.0	-154.66
86.0	-151.46
87.0	-158.19
88.0	-159.85
89.0	-154.08
90.0	-153.72
91.0	-152.51
92.0	-152.31
93.0	-154.41
94.0	-155.82
95.0	-155.03
96.0	-151.17
97.0	-155.23
98.0	-151.32
99.0	-148.7
100.0	-149.44
101.0	-151.85
102.0	-154.85
103.0	-151.74
104.0	-170.68
105.0	-152.94
106.0	-158.61
107.0	-162.68
108.0	-158.32
109.0	-147.87
110.0	-148.81
111.0	-149.96
112.0	-152.37
113.0	-160.53
114.0	-154.77
115.0	-156.72
116.0	-165.74
117.0	-152.14
118.0	-147.09
119.0	-152.05
120.0	-153.06
121.0	-166.66
122.0	-169.52
123.0	-159.9
124.0	-169.77
125.0	-156.44
126.0	-154.65
127.0	-152.45
128.0	-147.01
129.0	-146.03
130.0	-156.48
131.0	-161.27
132.0	-153.69
133.0	-155.02
134.0	-147.94
135.0	-146.02
136.0	-151.3
137.0	-154.58
138.0	-164.4
139.0	-154.24
140.0	-163.4
141.0	-157.49
142.0	-159.52
143.0	-149.95
144.0	-149.76
145.0	-163.38
146.0	-162.31
147.0	-155.97
148.0	-155.2
149.0	-154.13
150.0	-148.62
151.0	-146.85
152.0	-152.9
153.0	-151.32
154.0	-144.68
155.0	-146.04
156.0	-152.91
157.0	-162.25
158.0	-151.8
159.0	-148.18
160.0	-153.22
161.0	-153.44
162.0	-154.07
163.0	-153.25
164.0	-152.06
165.0	-155.92
166.0	-170.85
167.0	-147.73
168.0	-145.89
169.0	-153.07
170.0	-151.18
171.0	-151.36
172.0	-166.61
173.0	-163.18
174.0	-156.41
175.0	-154.23
176.0	-152.51
177.0	-162.39
178.0	-158.52
179.0	-168.02
180.0	-156.09
181.0	-151.14
182.0	-148.63
183.0	-149.66
184.0	-150.23
185.0	-153.2
186.0	-161.54
187.0	-155.5
188.0	-155.2
189.0	-156.2
190.0	-156.4
191.0	-154.29
192.0	-161.15
193.0	-161.57
194.0	-155.67
195.0	-161.75
196.0	-152.11
